schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,year,age,sex,count,reporting_status,upper_bound
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_88_col_Female,annual_estimates_observed_v1,2019,88,female,170,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_88_Male_and_Female,annual_estimates_sex_sum_v1,2019,88,all,280,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_89_col_Male,annual_estimates_observed_v1,2019,89,male,90,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_89_col_Female,annual_estimates_observed_v1,2019,89,female,150,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_89_Male_and_Female,annual_estimates_sex_sum_v1,2019,89,all,240,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_90_col_Male,annual_estimates_observed_v1,2019,90,male,60,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_90_col_Female,annual_estimates_observed_v1,2019,90,female,130,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_90_Male_and_Female,annual_estimates_sex_sum_v1,2019,90,all,190,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_91_col_Male,annual_estimates_observed_v1,2019,91,male,50,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_91_col_Female,annual_estimates_observed_v1,2019,91,female,120,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_91_Male_and_Female,annual_estimates_sex_sum_v1,2019,91,all,170,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_92_col_Male,annual_estimates_observed_v1,2019,92,male,40,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_92_col_Female,annual_estimates_observed_v1,2019,92,female,70,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_92_Male_and_Female,annual_estimates_sex_sum_v1,2019,92,all,110,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_93_col_Male,annual_estimates_observed_v1,2019,93,male,30,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_93_col_Female,annual_estimates_observed_v1,2019,93,female,90,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_93_Male_and_Female,annual_estimates_sex_sum_v1,2019,93,all,120,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_94_col_Male,annual_estimates_observed_v1,2019,94,male,40,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_94_col_Female,annual_estimates_observed_v1,2019,94,female,60,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_94_Male_and_Female,annual_estimates_sex_sum_v1,2019,94,all,100,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_95_col_Male,annual_estimates_observed_v1,2019,95,male,10,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_95_col_Female,annual_estimates_observed_v1,2019,95,female,50,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_95_Male_and_Female,annual_estimates_sex_sum_v1,2019,95,all,60,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_96_col_Male,annual_estimates_observed_v1,2019,96,male,10,reported,
